,ONS LA Code,variable,value,year,quarter,PCP
336,E08000024,2020 Q2,435.0,2020,Q2,0.0
337,E12000002,2020 Q2,15881.0,2020,Q2,0.0
338,E06000008,2020 Q2,212.0,2020,Q2,0.0
339,E06000009,2020 Q2,267.0,2020,Q2,0.0
340,E06000049,2020 Q2,1887.0,2020,Q2,0.0
341,E06000050,2020 Q2,1200.0,2020,Q2,0.0
342,E06000006,2020 Q2,274.0,2020,Q2,0.0
343,E06000007,2020 Q2,636.0,2020,Q2,0.0
344,E10000006,2020 Q2,949.0,2020,Q2,0.0
345,E07000026,2020 Q2,130.0,2020,Q2,0.0
346,E07000027,2020 Q2,83.0,2020,Q2,0.0
347,E07000028,2020 Q2,178.0,2020,Q2,0.0
348,E07000029,2020 Q2,97.0,2020,Q2,0.0
349,E07000030,2020 Q2,118.0,2020,Q2,0.0
350,E07000031,2020 Q2,343.0,2020,Q2,0.0
351,E11000001,2020 Q2,5410.0,2020,Q2,0.0
352,E08000001,2020 Q2,517.0,2020,Q2,0.0
353,E08000002,2020 Q2,475.0,2020,Q2,0.0
354,E08000003,2020 Q2,760.0,2020,Q2,0.0
355,E08000004,2020 Q2,356.0,2020,Q2,0.0
356,E08000005,2020 Q2,412.0,2020,Q2,0.0
357,E08000006,2020 Q2,469.0,2020,Q2,0.0
358,E08000007,2020 Q2,866.0,2020,Q2,0.0
359,E08000008,2020 Q2,301.0,2020,Q2,0.0
360,E08000009,2020 Q2,771.0,2020,Q2,0.0
361,E08000010,2020 Q2,483.0,2020,Q2,0.0
362,E10000017,2020 Q2,2876.0,2020,Q2,0.0
363,E07000117,2020 Q2,116.0,2020,Q2,0.0
364,E07000118,2020 Q2,325.0,2020,Q2,0.0
365,E07000119,2020 Q2,217.0,2020,Q2,0.0
366,E07000120,2020 Q2,96.0,2020,Q2,0.0
367,E07000121,2020 Q2,294.0,2020,Q2,0.0
368,E07000122,2020 Q2,135.0,2020,Q2,0.0
369,E07000123,2020 Q2,329.0,2020,Q2,0.0
370,E07000124,2020 Q2,224.0,2020,Q2,0.0
371,E07000125,2020 Q2,185.0,2020,Q2,0.0
372,E07000126,2020 Q2,356.0,2020,Q2,0.0
373,E07000127,2020 Q2,350.0,2020,Q2,0.0
374,E07000128,2020 Q2,249.0,2020,Q2,0.0
375,E08000011,2020 Q2,171.0,2020,Q2,0.0
376,E08000012,2020 Q2,557.0,2020,Q2,0.0
377,E08000014,2020 Q2,618.0,2020,Q2,0.0
378,E08000013,2020 Q2,249.0,2020,Q2,0.0
379,E08000015,2020 Q2,571.0,2020,Q2,0.0
380,E12000003,2020 Q2,22118.0,2020,Q2,0.0
381,E06000011,2020 Q2,783.0,2020,Q2,0.0
382,E06000010,2020 Q2,274.0,2020,Q2,0.0
383,E06000012,2020 Q2,232.0,2020,Q2,0.0
384,E06000013,2020 Q2,288.0,2020,Q2,0.0
385,E06000014,2020 Q2,613.0,2020,Q2,0.0
386,E10000023,2020 Q2,1961.0,2020,Q2,0.0
387,E07000163,2020 Q2,181.0,2020,Q2,0.0
388,E07000164,2020 Q2,270.0,2020,Q2,0.0
389,E07000165,2020 Q2,757.0,2020,Q2,0.0
390,E07000166,2020 Q2,126.0,2020,Q2,0.0
391,E07000167,2020 Q2,178.0,2020,Q2,0.0
392,E07000168,2020 Q2,154.0,2020,Q2,0.0
393,E07000169,2020 Q2,295.0,2020,Q2,0.0
394,E11000003,2020 Q2,4863.0,2020,Q2,0.0
395,E08000016,2020 Q2,466.0,2020,Q2,0.0
396,E08000017,2020 Q2,2102.0,2020,Q2,0.0
397,E08000018,2020 Q2,446.0,2020,Q2,0.0
398,E08000019,2020 Q2,1849.0,2020,Q2,0.0
399,E11000006,2020 Q2,13102.0,2020,Q2,0.0
400,E08000032,2020 Q2,1010.0,2020,Q2,0.0
401,E08000033,2020 Q2,491.0,2020,Q2,0.0
402,E08000034,2020 Q2,905.0,2020,Q2,0.0
403,E08000035,2020 Q2,9962.0,2020,Q2,0.0
404,E08000036,2020 Q2,734.0,2020,Q2,0.0
